strategy,round,side,amount,result,bankroll,roi
Player1_Martingale,1,Tai,50000,Lose,9.995e+07,-0.05%
Player1_Martingale,2,Tai,100000.00,Lose,99850000.00,-0.15%
Player1_Martingale,3,Xiu,200000.00,Lose,99650000.00,-0.35%
Player1_Martingale,4,Xiu,400000.00,Lose,99250000.00,-0.75%
Player1_Martingale,5,Tai,800000.00,Lose,98450000.00,-1.55%
Player1_Martingale,6,Xiu,1000000.00,Lose,97450000.00,-2.55%
Player1_Martingale,7,Xiu,1000000.00,Lose,96450000.00,-3.55%
Player1_Martingale,8,Xiu,1000000.00,Lose,95450000.00,-4.55%
Player1_Martingale,9,Xiu,1000000.00,Lose,94450000.00,-5.55%
Player1_Martingale,10,Tai,1000000.00,Win,95400000.00,-4.60%
Player1_Martingale,11,Tai,50000.00,Lose,95350000.00,-4.65%
Player1_Martingale,12,Tai,100000.00,Win,95445000.00,-4.55%
Player1_Martingale,13,Tai,50000.00,Win,95492500.00,-4.51%
Player1_Martingale,14,Tai,50000.00,Lose,95442500.00,-4.56%
Player1_Martingale,15,Tai,100000.00,Win,95537500.00,-4.46%
Player1_Martingale,16,Tai,50000.00,Lose,95487500.00,-4.51%
Player1_Martingale,17,Tai,100000.00,Win,95582500.00,-4.42%
Player1_Martingale,18,Tai,50000.00,Win,95630000.00,-4.37%
Player1_Martingale,19,Tai,50000.00,Lose,95580000.00,-4.42%
Player1_Martingale,20,Xiu,100000.00,Win,95675000.00,-4.32%
Player1_Martingale,21,Xiu,50000.00,Lose,95625000.00,-4.38%
Player1_Martingale,22,Xiu,100000.00,Win,95720000.00,-4.28%
Player1_Martingale,23,Tai,50000.00,Win,95767500.00,-4.23%
Player1_Martingale,24,Tai,50000.00,Win,95815000.00,-4.18%
Player1_Martingale,25,Xiu,50000.00,Win,95862500.00,-4.14%
Player1_Martingale,26,Xiu,50000.00,Lose,95812500.00,-4.19%
Player1_Martingale,27,Xiu,100000.00,Lose,95712500.00,-4.29%
Player1_Martingale,28,Xiu,200000.00,Win,95902500.00,-4.10%
Player1_Martingale,29,Tai,50000.00,Win,95950000.00,-4.05%
Player1_Martingale,30,Xiu,50000.00,Win,95997500.00,-4.00%
Player1_Martingale,31,Tai,50000.00,Win,96045000.00,-3.96%
Player1_Martingale,32,Tai,50000.00,Lose,95995000.00,-4.00%
Player1_Martingale,33,Xiu,100000.00,Win,96090000.00,-3.91%
Player1_Martingale,34,Tai,50000.00,Lose,96040000.00,-3.96%
Player1_Martingale,35,Tai,100000.00,Win,96135000.00,-3.86%
Player1_Martingale,36,Tai,50000.00,Win,96182500.00,-3.82%
Player1_Martingale,37,Tai,50000.00,Lose,96132500.00,-3.87%
Player1_Martingale,38,Tai,100000.00,Win,96227500.00,-3.77%
Player1_Martingale,39,Xiu,50000.00,Lose,96177500.00,-3.82%
Player1_Martingale,40,Xiu,100000.00,Lose,96077500.00,-3.92%
Player1_Martingale,41,Tai,200000.00,Lose,95877500.00,-4.12%
Player1_Martingale,42,Tai,400000.00,Lose,95477500.00,-4.52%
Player1_Martingale,43,Xiu,800000.00,Win,96237500.00,-3.76%
Player1_Martingale,44,Xiu,50000.00,Win,96285000.00,-3.72%
Player1_Martingale,45,Tai,50000.00,Lose,96235000.00,-3.77%
Player1_Martingale,46,Xiu,100000.00,Win,96330000.00,-3.67%
Player1_Martingale,47,Tai,50000.00,Lose,96280000.00,-3.72%
Player1_Martingale,48,Xiu,100000.00,Lose,96180000.00,-3.82%
Player1_Martingale,49,Xiu,200000.00,Lose,95980000.00,-4.02%
Player1_Martingale,50,Tai,400000.00,Win,96360000.00,-3.64%
Player1_Martingale,51,Tai,50000.00,Win,96407500.00,-3.59%
Player1_Martingale,52,Xiu,50000.00,Lose,96357500.00,-3.64%
Player1_Martingale,53,Xiu,100000.00,Win,96452500.00,-3.55%
Player1_Martingale,54,Xiu,50000.00,Win,96500000.00,-3.50%
Player1_Martingale,55,Xiu,50000.00,Lose,96450000.00,-3.55%
Player1_Martingale,56,Xiu,100000.00,Win,96545000.00,-3.45%
Player1_Martingale,57,Xiu,50000.00,Win,96592500.00,-3.41%
Player1_Martingale,58,Xiu,50000.00,Lose,96542500.00,-3.46%
Player1_Martingale,59,Xiu,100000.00,Win,96637500.00,-3.36%
Player1_Martingale,60,Xiu,50000.00,Lose,96587500.00,-3.41%
